"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/zer02/Project/ReactProj/cloud-music2/src/baseUI/horizon-item/index.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 0, 5, 58
"/Users/zer02/Project/ReactProj/cloud-music2/src/baseUI/horizon-item/style.js", "JavaScript", 0, 29, 0, 0, 0, 0, 4, 33
"/Users/zer02/Project/ReactProj/cloud-music2/src/baseUI/loading/index.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 3, 18
"/Users/zer02/Project/ReactProj/cloud-music2/src/baseUI/loading/style.js", "JavaScript", 0, 49, 0, 0, 0, 0, 4, 53
"/Users/zer02/Project/ReactProj/cloud-music2/src/baseUI/scroll/index.jsx", "JavaScript JSX", 146, 0, 0, 0, 0, 13, 7, 166
"/Users/zer02/Project/ReactProj/cloud-music2/src/baseUI/scroll/style.js", "JavaScript", 0, 26, 0, 0, 0, 0, 5, 31
"/Users/zer02/Project/ReactProj/cloud-music2/src/components/list/index.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 1, 4, 58
"/Users/zer02/Project/ReactProj/cloud-music2/src/components/list/style.js", "JavaScript", 0, 66, 0, 0, 0, 2, 5, 73
"/Users/zer02/Project/ReactProj/cloud-music2/src/components/slider/index.jsx", "JavaScript JSX", 46, 0, 0, 0, 0, 1, 5, 52
"/Users/zer02/Project/ReactProj/cloud-music2/src/components/slider/style.js", "JavaScript", 0, 34, 0, 0, 0, 0, 2, 36
"/Users/zer02/Project/ReactProj/cloud-music2/src/index.js", "JavaScript", 0, 11, 0, 0, 0, 3, 3, 17
"/Users/zer02/Project/ReactProj/cloud-music2/src/reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"/Users/zer02/Project/ReactProj/cloud-music2/src/routes/index.jsx", "JavaScript JSX", 54, 0, 0, 0, 0, 4, 3, 61
"/Users/zer02/Project/ReactProj/cloud-music2/src/setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 4, 1, 6
"/Users/zer02/Project/ReactProj/cloud-music2/src/store/index.jsx", "JavaScript JSX", 6, 0, 0, 0, 0, 0, 3, 9
"/Users/zer02/Project/ReactProj/cloud-music2/src/store/reducer.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 2, 17
"/Users/zer02/Project/ReactProj/cloud-music2/src/style.js", "JavaScript", 0, 52, 0, 0, 0, 1, 1, 54
"Total", "-", 1497, 2550, 558, 55, 815, 112, 656, 6243
